,Unnamed: 0,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
150,159699,2.01603E+11,2016,3,4,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Alon Shvut,31.695183,35.114476,1,1,The incident occurred at the Gush Etzion Junction.,"03/04/2016: An assailant rammed her vehicle into a group of Israeli soldiers in Gush Etzion, West Bank. One soldier was injured in the attack and security forces shot and killed the assailant. No group claimed responsibility for the incident; however, sources attributed the attack to Amani Hosni Sabateen, a Palestinian extremist.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldier,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,1,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Female attacker rams into soldiers at Gush Etzion junction; one soldier lightly hurt; terrorist shot dead,"" Ynet News, March 4, 2016.","""Initial Report: Soldier Lightly Wounded in Suspected West Bank Car-ramming Attack,"" Haaretz, March 4, 2016.","""Palestinian killed by security forces after car attack against soldier,"" EFE, March 4, 2016.",START Primary Collection,0,0,0,0,
151,160111,2.01603E+11,2016,3,14,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Kiryat Arba,31.529733,35.118225,1,0,,"03/14/2016: Two assailants rammed their vehicle into a group of soldiers and opened fire on them at a bus station near Kiryat Arba, West Bank. Both assailants were shot and killed and one soldier was injured in the attack. This was one of two coordinated attacks in the area on the same day. No group claimed responsibility for the incident; however sources identified the assailants as Palestinian extremists.",1,1,0,1,1,Insurgency/Guerilla Action,1,1,0,2,Armed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,2,0,0,,,,,,,,,,5,Firearms,5,Unknown Gun Type,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,2,0,2,1,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Two Israelis Wounded in Two Car-ramming Attacks Near Hebron,"" Haaretz, March 14, 2016.","""4 Israeli soldiers injured in 2 West Bank car-ramming and shooting attacks,"" JTA, March 14, 2016.","""3 Palestinians carry out shooting, car-ramming attacks, shot dead: army,"" Yahoo! UK and Ireland, March 14, 2016.",START Primary Collection,0,0,0,0,"201603140030, 201603140031"
152,160112,2.01603E+11,2016,3,14,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Kiryat Arba,31.529733,35.118225,1,0,,"03/14/2016: An assailant rammed his vehicle into an Israeli military vehicle responding to the scene of an earlier attack near Kiryat Arba, West Bank. The assailant was killed and three soldiers were injured in the attack. This was one of two coordinated attacks in the area on the same day. Both the Al-Aqsa Martyrs Brigade and Hamas (Islamic Resistance Movement) separately claimed responsibility for the incident.",1,1,0,1,1,Insurgency/Guerilla Action,1,1,0,8,Unarmed Assault,,,,,4,Military,35,Military Transportation/Vehicle (excluding convoys),Israel Defense Forces (IDF),Vehicle,97,Israel,,,,,,,,,,,,,,,,,Al-Aqsa Martyrs Brigade,,Hamas (Islamic Resistance Movement),,,,,0,0,,0,1,0,1,7,"Posted to website, blog, etc.",1,7,"Posted to website, blog, etc.",,,,1,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,3,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""4 Israeli soldiers injured in 2 West Bank car-ramming and shooting attacks,"" JTA, March 14, 2016.","""Two Israelis Wounded in Two Car-ramming Attacks Near Hebron,"" Haaretz, March 14, 2016.","""3 Palestinians carry out shooting, car-ramming attacks, shot dead: army,"" Yahoo! UK and Ireland, March 14, 2016.",START Primary Collection,0,0,0,0,"201603140030, 201603140031"
153,161961,2.01605E+11,2016,5,3,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Ein Arik,31.909247,35.141358,1,0,,"05/03/2016: An assailant rammed a vehicle into military personnel in Ein Arik, West Bank. The assailant was killed three soldiers were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to a Palestinian extremist.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,36,Military Checkpoint,Israel Defense Forces (IDF),Checkpoint,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,3,0,0,1,4,Unknown,-99,A military vehicle was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""The scene of the car-ramming attack northwest of Ramallah in the West Bank. Photo: United Hatzalah.,"" Algemeiner.com, May 3, 2016.","""3 Israelis injured, 1 seriously, in West Bank car-ramming attack,"" JTA, May 3, 2016.","""Three Israelis Wounded in Suspected Car-ramming Attack in West Bank,"" Haaretz, May 3, 2016.",START Primary Collection,0,0,0,0,
155,164089,2.01606E+11,2016,6,24,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Kiryat Arba,31.529733,35.118225,1,1,,"06/24/2016: An assailant rammed her vehicle into another vehicle near Kiryat Arba, West Bank. Two civilians were injured in the assault and the assailant was killed by security forces. No group claimed responsibility for the incident; however, sources attributed the attack to a Palestinian extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,2,0,0,1,3,Minor (likely < $1 million),-99,A vehicle was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Palestinian attempts to stab IDF soldier near Hebron; assailant shot,"" Jerusalem Post, September 20, 2016.","""Watch: Security cameras capture car ramming attack near Kiryat Arba,"" Jerusalem Post, June 24, 2016.","""Car-Ramming Attack Foiled Near Hebron After Driver Crashes Into Another Car,"" Algemeiner.com, June 24, 2016.",START Primary Collection,0,0,0,0,
156,164535,2.01607E+11,2016,7,6,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Neve Daniel,31.67832,35.143993,1,0,,"07/06/2016: An assailant intentionally drove his vehicle into an Israel Defense Forces (IDF) vehicle in Neve Daniel, West Bank. At least four people, including three soldiers and the assailant, were wounded in the attack. No group claimed responsibility; however, sources identified the assailant as a Palestinian extremist.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,35,Military Transportation/Vehicle (excluding convoys),Israel Defense Forces (IDF),Vehicle,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,4,0,1,1,4,Unknown,-99,A military vehicle was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Three IDF soldiers hurt in suspected West Bank car ramming attack,"" Jerusalem Post, July 6, 2016.","""4 injured in suspected car-ramming attack in West Bank,"" Xinhua General News Service, July 6, 2016.","""3 IDF Soldiers Hurt in Vehicle Terror Attack Near Neve Daniel on Hwy 60,"" Jewish Press, July 6, 2016.",START Primary Collection,0,0,0,0,
163,167094,2.01609E+11,2016,9,16,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Kiryat Arba,31.529733,35.118225,1,1,The incident occurred near Kiryat Arba.,"09/16/2016: Two assailants rammed a vehicle into a bus stop near Kiryat Arba, West Bank. One assailant was killed and one assailant and three Israeli civilians were injured in the attack and ensuing clash. Palestinian extremists, identified as Fares Khadour and Raghad Abdullah Abdullah Khaddour, claimed responsibility for the incident.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,19,Transportation,101,Bus Station/Stop,Unknown,Bus Stop,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,2,1,1,8,Personal claim,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,4,0,1,1,3,Minor (likely < $1 million),-99,A bus was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""A Palestinian terror assailant's final morning leading up to attack,"" Jerusalem Post, September 19, 2016.","""Two Palestinians and a Jordanian killed after attacking Israelis, officials say,"" Los Angeles Times, September 16, 2016.","""Three Israeli Civilians Hurt in West Bank Car-Ramming, Army Says,"" Bloomberg, September 16, 2016.",START Primary Collection,0,0,0,0,
165,168674,2.0161E+11,2016,10,28,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Ofra,31.955101,35.260324,1,0,,"10/28/2016: An assailant attempted to ram his vehicle into an Israel Defense Forces (IDF) checkpoint in Ofra, West Bank. Security forces opened fire, injuring the assailant. No group claimed responsibility for the incident; however, sources attributed the attack to a Palestinian extremist.",1,1,0,1,1,Insurgency/Guerilla Action,0,0,0,2,Armed Assault,,,,,4,Military,36,Military Checkpoint,Israel Defense Forces (IDF),Checkpoint,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,9,Melee,23,Knife or Other Sharp Object,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,A knife and a vehicle were used in the attack.,0,0,0,1,0,1,0,,,,,0,,,,,,,,,,,,,,,,,"""3 Israeli border police officers injured in West Bank car ramming attack,"" JTA, October 30, 2016.","""Israel: Gunmen Open Fire at Car Near West Bank Settlement; IDF Searching for Assailants,"" Haaretz.com, October 29, 2016.","""Suspected terrorist attempts to run over soldiers in West Bank,"" The Times Of Israel, October 29, 2016.",START Primary Collection,0,0,0,0,
166,168756,2.0161E+11,2016,10,30,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Bayt Umar,31.626705,35.104968,1,1,"The incident occurred at the Ofakim junction, near Bayt Umar.","10/30/2016: An assailant rammed his vehicle into Israeli Border Police personnel near Bayt Umar, West Bank. Three officers were injured in the attack before officers shot and killed the assailant. No group claimed responsibility for the incident; however, sources attributed the attack to a Palestinian extremist, identified as Khalid Ahmad Alyan Akhlil.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,25,Police Security Forces/Officers,Israeli Border Police,Officers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,3,0,0,1,3,Minor (likely < $1 million),-99,Vehicle was damaged in the attack.,0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Developing: 3 Israelis hurt in West Bank shooting attack near Ramallah,"" Jerusalem Post, October 31, 2016.","""Israel says troops kill Palestinian who injured three in car attack,"" Reuters India, October 30, 2016.","""Israeli troops kill Palestinian in car-ramming attack in West Bank,"" Xinhua General News Service, October 30, 2016.",START Primary Collection,0,0,0,0,
168,170349,2.01612E+11,2016,12,13,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Qalandiyah,31.861471,35.208428,1,0,,"12/13/2016: An assailant attempted to ram her vehicle at the Qalandiya checkpoint in Qalandiya, West Bank. Security forces opened fire, causing the assailant to stop. No casualties were reported in the attack and the assailant was arrested. No group claimed responsibility for the incident.",1,1,1,0,,,0,0,0,2,Armed Assault,,,,,3,Police,24,Police Checkpoint,Israeli Border Police,Qalandiya Checkpoint,97,Israel,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,1,1,0,,,,,,,,,,9,Melee,23,Knife or Other Sharp Object,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Female terrorist attempts vehicular attack in Qalandiya, neutralized,"" Ynet News, December 13, 2016.","""Cop stabbed with screwdriver, lightly hurt in Jerusalem attack,"" The Times Of Israel, December 14, 2016.",,START Primary Collection,-9,-9,0,-9,
172,171090,2.01701E+11,2017,1,8,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Jerusalem,31.784837,35.224613,1,0,The incident occurred in the Armon Hanatziv area of East Jerusalem.,"01/08/2017: An assailant drove a truck into a group of off-duty Israel Defense Forces (IDF) soldiers visiting the Tayelet in Armon Hanatziv neighborhood, Jerusalem, West Bank. At least four soldiers, including two United States citizens, were killed and 17 other soldiers were injured in the assault. The assailant, identified as Fadi al-Qunbar, was shot and killed after backing the vehicle up and ramming the crowd a second time. The Groups of Martyr Baha Eleyan claimed responsibility for the attack. Sources also suspected that the incident may have been carried out by the Islamic State of Iraq and the Levant (ISIL).",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),"Soldiers: Erez Orbach, Yael Yekutiel, Shir Hajaj",97,Israel,,,,,,,,,,,,,,,,,Groups of Martyr Baha Eleyan,,Islamic State of Iraq and the Levant (ISIL),,,,,0,1,,0,1,0,1,7,"Posted to website, blog, etc.",0,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,A truck was used in the attack.,5,2,1,17,0,0,0,,,,,0,,,,,,,,,,,,,,,,The victims included Shira Tzur.,"""Obscure Palestinian Group Claims Jerusalem Truck Ramming Attack,"" New York Times, January 9, 2017.","""Netanyahu links Jeruslaem attack to IS. Israeli media calls him out,"" Middle East Eye, January 10, 2017.","""Israeli Soldier Killed in Jerusalem Truck Attack Was US Citizen,"" ABC News, January 9, 2017.",START Primary Collection,1,1,0,1,
173,171555,2.01701E+11,2017,1,25,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Kochav Yaakov,31.880152,35.242773,1,1,,"01/25/2017: An assailant attempted to ram his vehicle into a bus stop near Kochav Yaakov, West Bank. The assailant was shot and killed by security forces. No group claimed responsibility for the incident; however, sources identified the assailant as Hussein Salem Abu Ghosh, a Palestinian extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,19,Transportation,101,Bus Station/Stop,Unknown,Bus Stop,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,0,0,0,1,3,Minor (likely < $1 million),-99,A bus stop was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Two separate attacks in Binyamin region; two,"" Ynet News, January 26, 2017.","""Palestinian man who drove into a West Bank bus stop shot, killed,"" JTA, January 25, 2017.","""Palestinian attempts car-ramming, is shot dead: Israel army,"" Agence France-Presse Top News (English), t, January 25, 2017.",START Primary Collection,0,0,0,0,
174,171826,2.01702E+11,2017,2,2,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Geva Binyamin,31.849267,35.276436,1,0,The incident occurred in Jerusalem district.,"02/02/2017: An assailant drove her vehicle into an Israel Police vehicle in Geva Binyamin, West Bank. At least four people, including the assailant, were injured in the attack. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,23,Police Patrol (including vehicles and convoys),Israel Police,Vehicle,97,Israel,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,4,0,1,1,3,Minor (likely < $1 million),-99,A police vehicle and security gate were damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Attempted vehicular attack in West Bank,"" Jerusalem Post, February 2, 2017.","""Footage of three lightly wounded in West Bank,"" Ynet News, February 3, 2017.","""Three lightly injured in car-ramming attack outside Jerusalem,"" Ynet News, February 2, 2017.",START Primary Collection,-9,-9,0,-9,
175,173126,2.01703E+11,2017,3,15,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Alon Shvut,31.653435,35.125639,1,1,The incident occurred at Gush Etzion Junction.,"03/15/2017: An assailant attempted to drive a vehicle into soldiers and civilians at a bus stop in Gush Etzion, Alon Shvut, West Bank. Security forces shot and injured the assailant, who was the only reported casualty. No group claimed responsibility for the incident; however, sources identified the assailant as Fatemah Taqatqa, a Palestinian extremist.",1,1,1,0,,,0,0,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,19,Transportation,101,Bus Station/Stop,Unknown,Bus Stop,155,West Bank and Gaza Strip,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,1,0,1,0,,,,,0,,,,,,,,,,,,,,,,,"""Palestinian Driver Shot Trying to Carry Out Car-ramming Attack, Military Says,"" Haaretz, March 15, 2017.","""Watch: Attempted ramming attack in Gush Etzion,"" Israel National News, March 15, 2017.","""Female assailant shot during suspected car-ramming attempt,"" The Times Of Israel, March 15, 2017.",START Primary Collection,0,0,0,0,
177,173782,2.01704E+11,2017,4,6,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Ofra,31.955101,35.260324,1,0,,"04/06/2017: An assailant rammed a vehicle into Israel Defense Forces (IDF) soldiers outside Ofra, West Bank. At least one soldier was killed and two other people, including the assailant and another soldier, were injured in the attack. No group claimed responsibility; however, sources identified the assailant, Malik Hamad, as a Palestinian extremist.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldier: Sergeant Elchai Teharlev,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,0,2,0,1,0,,,,,0,,,,,,,,,,,,,,,,"While Hamas (Islamic Resistance Movement) did not claim responsibility for the incident, the group praised the attack and stated that ""the Jerusalem intifada is continuing its work.""","""Hamas Hangs 3 Men in Gaza Accused of Aiding Israel,"" New York Times, April 6, 2017.","""IDF soldier named as victim killed in West Bank ramming attack,"" Jerusalem Post, April 6, 2017.","""Israeli killed, another wounded, in suspected West Bank ramming attack,"" Jerusalem Post, April 6, 2017.",START Primary Collection,0,0,0,0,
180,174186,2.01704E+11,2017,4,19,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Alon Shvut,31.653435,35.125639,1,1,The incident occurred at Gush Etzion Junction.,"04/19/2017: An assailant rammed his vehicle into a bus stop near Alon Shvut, West Bank. One person was injured in the attack before the assailant was shot and killed by security forces. No group claimed responsibility for the incident; however, sources attributed the attack to a Palestinian extremist, identified as Suhaib Mashahra.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,1,0,0,-9,,,,,0,,,,,,,,,,,,,,,,,"""One wounded in West Bank car ramming attack,"" Jerusalem Post, April 19, 2017.","""Israeli hurt in terror attack at Gush Etzion,"" Ynet News, April 20, 2017.","""One Wounded in West Bank Car-ramming Attack,"" Haaretz, April 19, 2017.",START Primary Collection,0,0,0,0,
188,176965,2.01707E+11,2017,7,10,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Tekoa,31.6528,35.229585,1,0,,"07/10/2017: An assailant rammed his vehicle into a group of Israel Defense Forces (IDF) soldiers in Tekoa, West Bank. The assailant then exited the vehicle and attempted to stab the soldiers. The assailant was killed and at least one soldier was injured in the attack. No group claimed responsibility; however, sources identified the assailant, Muhammed Ibrhaim Jabril, as a Palestinian extremist.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,2,Armed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,9,Melee,23,Knife or Other Sharp Object,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,A knife and a vehicle were used in the attack.,1,0,1,1,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Identity of terrorist in Monday's ramming attack released,"" Jerusalem Post, July 10, 2017.","""IDF soldier wounded in car ramming attack, assailant killed,"" Jerusalem Post, July 10, 2017.","""Three people wounded in attack in Jerusalem's Old City, assailants shot and killed,"" Haaretz, July 14, 2017.",START Primary Collection,0,0,0,0,
189,177201,2.01707E+11,2017,7,17,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Hebron,31.530243,35.094162,1,0,The incident occurred in the Beit Romano neighborhood.,"07/17/2017: An assailant attempted to drive their vehicle into Israel Defense Forces (IDF) personnel in Hebron, West Bank. There were no reported casualties, and the driver was arrested at the scene. No group claimed responsibility for the incident.",1,1,0,1,1,Insurgency/Guerilla Action,0,0,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Possible Ramming Attack in Hebron,"" Jewish Press, July 17, 2017.","""Attempted Ramming Attack in Hebron,"" Jewish Press, July 17, 2017.","""Atempted ramming attack in Hevron,"" Arutz Sheva, July 17, 2017.",START Primary Collection,-9,-9,0,-9,
190,177235,2.01707E+11,2017,7,18,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Beit Einun,31.564108,35.126918,1,0,The incident occurred in the Hebron district.,"07/18/2017: An assailant rammed a vehicle into Israel Defense Forces (IDF) personnel in Beit Einun, West Bank. At least two soldiers were injured in the attack before the assailant was shot and killed by security forces. No group claimed responsibility for the incident; however, sources identified the assailant, Rafaat Nathmi Shukri Hirbawi, as a Palestinian extremist.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,2,0,0,0,,,,,0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the lowest reliable estimates are reported here.","""Palestinian Car-Ramming Terror Attack Injures Three Soldiers Near Hebron,"" Algemeiner.com, July 19, 2017.","""Palestinian Driver Runs Over Soldiers, Lightly Wounds Two Troops,"" Haaretz, July 18, 2017.","""Palestinian shot dead by Israeli soldiers in Hebron area,"" Abu Dhabi National, July 18, 2017.",START Primary Collection,0,0,0,0,
203,180733,2.01711E+11,2017,11,17,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Alon Shvut,31.650626,35.138346,1,1,The incident occurred between the Gush Etzion junction and Efrat Junction.,"11/17/2017: An assailant drove his vehicle into Israeli citizens and attempted to stab Israeli soldiers between Gush Etzion junction and Efrat Junction, Alon Shvut, West Bank, West Bank and Gaza Strip. Two Israeli citizens, Ezer Holaring and David Ramati, were injured, along with the assailant. No group claimed responsibility; however, sources attributed the attack to Ezzedin Karaja, a Palestinian extremist.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Palestinian National Security Forces (NSF),Soldiers,155,West Bank and Gaza Strip,14,Private Citizens & Property,71,Race/Ethnicity Identified,Not Applicable,Israeli Civilians: Ezer Holaring;  David Ramati,97,Israel,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,9,Melee,23,Knife or Other Sharp Object,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,A knife and a vehicle were used in the attack.,0,0,0,3,1,1,0,,,,,0,,,,,,,,,,,,,,,,,"""Friday’s Terror Victim Still in Serious Conditio"" Jewish Press, November 18, 2017.","""Palestinian teen injures two Israelis in car-ramming attack,"" Xinhua General News Service, November 17, 2017.","""Palestinian shot, injured south of Bethlehem following alleged attack,"" Palestine News Agency, November 17, 2017.",START Primary Collection,0,0,0,0,
